19.1.2.19. Gyümölcstermelés vármegye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Gyõr-Moson-Sopron;vármegye;3 698;1 954;1 088;1 805;2 614;1 405;1 904;756;502;858;425;764;448;500;900;665;903;791;878;597;377;416;468;722
Vas;vármegye;1 330;350;261;348;300;469;556;475;601;543;686;700;958;960;928;479;324;331;329;296;271;254;227;274
Zala;vármegye;690;152;171;382;384;352;613;795;699;387;212;128;91;92;100;180;275;260;279;174;272;275;608;581
Nyugat-Dunántúl;régió;5 718;2 456;1 520;2 529;3 298;2 226;3 073;2 026;1 802;1 788;1 323;1 592;1 497;1 552;1 928;1 324;1 502;1 382;1 486;1 067;920;945;1 303;1 577
Baranya;vármegye;2 775;2 501;832;1 082;1 354;811;1 077;1 128;849;981;1 223;1 547;613;2 209;1 691;2 875;1 786;1 731;978;901;527;481;311;223
Somogy;vármegye;1 450;1 200;307;928;1 200;866;1 285;600;671;345;328;295;287;764;394;488;357;406;360;910;303;350;693;610
Tolna;vármegye;786;724;514;522;604;172;772;540;578;876;688;678;603;615;621;671;267;250;290;487;327;357;263;306
Dél-Dunántúl;régió;5 011;4 425;1 653;2 532;3 158;1 849;3 134;2 268;2 098;2 202;2 239;2 520;1 503;3 588;2 706;4 034;2 410;2 387;1 628;2 298;1 157;1 188;1 267;1 139
Dunántúl;nagyrégió;18 103;13 109;7 855;8 048;11 885;7 813;10 089;7 117;7 426;6 285;6 078;6 133;5 646;7 464;7 453;9 731;6 347;5 606;4 846;5 403;3 304;3 144;4 010;3 959
Borsod-Abaúj-Zemplén;vármegye;9 167;9 205;4 356;4 658;2 562;2 558;3 943;3 208;3 208;3 247;2 938;2 492;3 649;3 857;3 150;4 252;3 509;3 203;3 763;3 451;2 579;2 472;2 701;2 589
Heves;vármegye;1 498;2 037;1 629;1 310;7 172;1 262;1 802;1 317;920;1 801;1 798;1 294;1 186;1 609;1 878;1 433;1 860;1 790;1 985;2 361;1 678;1 400;2 264;2 214
Nógrád;vármegye;4 260;4 851;548;580;1 438;954;962;389;837;291;1 560;794;1 110;922;596;722;700;642;723;797;832;958;1 394;1 638
Észak-Magyarország;régió;14 925;16 093;6 533;6 548;11 172;4 774;6 707;4 914;4 965;5 339;6 296;4 580;5 945;6 387;5 624;6 407;6 069;5 635;6 471;6 609;5 089;4 830;6 359;6 441
Hajdú-Bihar;vármegye;5 000;5 100;3 025;2 684;2 500;747;3 318;764;1 126;1 729;2 236;1 251;1 370;1 049;1 829;1 150;1 556;1 586;1 405;1 502;1 007;1 220;717;750
Jász-Nagykun-Szolnok;vármegye;4 007;5 555;2 939;1 276;2 941;1 111;3 868;803;1 056;1 277;1 350;1 403;1 108;1 375;1 374;1 408;1 083;1 039;1 100;1 094;1 206;777;1 365;793
Szabolcs-Szatmár-Bereg;vármegye;24 000;21 352;13 275;11 000;14 060;4 182;8 289;2 616;20 700;14 284;24 724;4 608;11 138;8 078;10 652;9 681;7 271;7 134;8 015;7 707;4 778;10 433;9 018;11 128
Észak-Alföld;régió;33 007;32 007;19 239;14 960;19 501;6 040;15 475;4 183;22 882;17 290;28 310;7 262;13 616;10 502;13 855;12 239;9 910;9 759;10 520;10 303;6 991;12 430;11 100;12 671
Bács-Kiskun;vármegye;4 801;5 960;2 750;4 365;6 788;4 447;18 239;9 470;12 464;12 982;19 861;10 013;6 825;9 103;8 902;7 579;14 321;13 134;14 321;12 581;6 981;7 460;8 888;7 492
Békés;vármegye;4 972;5 326;5 104;5 110;5 253;3 155;3 476;1 333;1 525;2 259;2 102;1 816;1 562;2 635;1 971;2 090;1 909;1 630;1 889;1 607;590;796;430;923
Csongrád-Csanád;vármegye;777;1 244;1 292;1 539;5 092;3 069;3 967;1 909;1 950;2 543;2 584;2 126;179;1 452;1 138;565;1 107;1 013;1 032;2 149;974;1 302;1 007;1 560
Dél-Alföld;régió;10 550;12 530;9 146;11 014;17 133;10 671;25 682;12 712;15 939;17 784;24 547;13 955;8 566;13 190;12 011;10 234;17 337;15 777;17 242;16 337;8 545;9 558;10 325;9 975
Alföld és Észak;nagyrégió;58 482;60 630;34 918;32 522;47 806;21 485;47 864;21 809;43 786;40 413;59 153;25 797;28 127;30 079;31 490;28 880;33 316;31 171;34 233;33 249;20 625;26 818;27 784;29 087
Ország összesen;ország;91 285;89 824;49 316;45 430;66 995;35 956;64 584;30 773;55 971;51 487;70 854;37 338;43 268;47 998;45 116;46 023;47 560;43 295;46 690;45 248;27 038;33 253;34 967;37 373
kajszi;;;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;1 440;600;87;445;132;107;126;68;105;53;173;34;72;136;172;55;168;141;130;379;6;6;7;8
Pest;vármegye, régió;8 300;4 150;1 717;4 212;1 836;1 297;4 355;2 616;3 544;3 450;2 870;2 366;1 200;1 956;2 497;2 179;1 576;1 868;800;2 136;445;794;1 544;865
Közép-Magyarország;nagyrégió;9 740;4 750;1 804;4 657;1 968;1 404;4 481;2 684;3 649;3 503;3 043;2 400;1 272;2 092;2 669;2 234;1 744;2 009;930;2 515;451;800;1 551;873
Fejér;vármegye;912;1 603;629;2 335;2 108;1 225;2 399;1 444;2 660;2 701;2 160;2 120;1 626;3 267;2 127;2 355;1 809;1 595;616;2 693;628;1 718;2 847;2 196
Komárom-Esztergom;vármegye;182;200;150;560;490;234;252;146;157;170;152;93;86;114;114;535;304;420;311;192;30;92;79;51
Veszprém;vármegye;365;446;68;367;520;488;637;595;597;1 812;1 318;1 438;471;579;493;617;620;489;197;394;169;147;192;183
Közép-Dunántúl;régió;1 459;2 249;847;3 262;3 118;1 947;3 288;2 185;3 414;4 683;3 630;3 651;2 183;3 960;2 734;3 507;2 733;2 504;1 124;3 279;827;1 957;3 118;2 430
Gyõr-Moson-Sopron;vármegye;367;196;121;745;710;731;1 209;300;299;1 028;255;486;271;870;703;905;756;982;232;1 333;164;622;502;422
Vas;vármegye;134;10;3;22;30;38;60;36;126;31;172;29;17;93;73;72;33;28;25;71;21;29;46;48
Zala;vármegye;126;26;17;22;22;26;100;128;285;142;155;102;116;170;238;284;73;369;135;734;702;254;1 107;394
Nyugat-Dunántúl;régió;627;232;141;789;762;795;1 369;464;710;1 201;582;617;404;1 133;1 014;1 261;862;1 379;392;2 138;887;905;1 655;864
Baranya;vármegye;239;86;49;336;1 376;389;1 184;996;733;722;650;1 463;249;1 518;1 524;1 927;845;654;203;693;515;436;888;455
Somogy;vármegye;364;500;449;1 114;768;1 077;1 150;751;850;1 810;1 466;1 466;215;2 558;1 615;972;2 824;2 892;894;2 132;1 096;1 351;1 814;2 324
Tolna;vármegye;127;420;187;1 659;1 337;1 007;1 763;1 469;1 369;1 774;1 849;2 218;975;1 824;1 395;1 544;2 469;2 025;1 140;2 099;945;948;3 907;2 200
Dél-Dunántúl;régió;730;1 006;685;3 109;3 481;2 473;4 097;3 216;2 952;4 306;3 965;5 147;1 439;5 900;4 534;4 443;6 138;5 571;2 237;4 924;2 556;2 735;6 609;4 979
Dunántúl;nagyrégió;2 816;3 487;1 673;7 160;7 361;5 215;8 754;5 865;7 076;10 190;8 177;9 415;4 026;10 992;8 282;9 211;9 733;9 454;3 753;10 341;4 270;5 597;11 382;8 273
Borsod-Abaúj-Zemplén;vármegye;3 400;3 700;2 500;11 059;14 928;12 045;13 257;4 335;4 335;8 933;7 942;6 962;3 776;4 650;6 814;5 887;5 576;5 762;4 576;5 812;3 638;2 827;6 187;3 906
Heves;vármegye;1 200;713;195;1 601;1 638;1 130;1 616;269;1 337;1 378;1 261;1 085;694;668;1 177;611;445;564;442;522;217;344;805;494
Nógrád;vármegye;70;65;120;120;140;114;152;17;69;93;174;181;10;9;5;13;18;10;14;20;8;8;17;8
Észak-Magyarország;régió;4 670;4 478;2 815;12 780;16 706;13 289;15 025;4 621;5 741;10 404;9 377;8 228;4 480;5 328;7 996;6 511;6 039;6 336;5 032;6 354;3 863;3 179;7 009;4 408
Hajdú-Bihar;vármegye;400;400;220;349;325;117;287;301;109;417;415;350;424;143;485;402;286;324;203;88;28;28;94;96
Jász-Nagykun-Szolnok;vármegye;511;200;238;158;581;54;736;239;322;659;232;205;135;92;275;213;304;320;247;310;137;141;206;174
Szabolcs-Szatmár-Bereg;vármegye;250;309;155;155;155;36;155;11;310;168;232;79;120;62;108;118;100;85;61;35;56;82;51;157
Észak-Alföld;régió;1 161;909;613;662;1 061;207;1 178;551;741;1 244;879;634;679;297;868;733;690;729;511;433;221;251;351;427
Bács-Kiskun;vármegye;2 718;1 866;14;5 100;7 273;5 118;10 431;7 605;9 193;7 300;5 320;3 460;133;2 488;2 845;794;4 864;5 104;3 843;5 310;1 541;1 618;2 835;1 624
Békés;vármegye;36;25;4;20;59;37;76;174;151;366;236;382;185;215;236;186;157;185;104;229;82;83;202;222
Csongrád-Csanád;vármegye;267;110;35;411;727;385;336;234;210;450;27;247;4;77;191;186;301;284;156;304;195;237;776;470
Dél-Alföld;régió;3 021;2 001;53;5 531;8 059;5 540;10 843;8 013;9 554;8 116;5 583;4 089;322;2 779;3 272;1 166;5 322;5 573;4 103;5 843;1 818;1 938;3 813;2 316
Alföld és Észak;nagyrégió;8 852;7 388;3 481;18 973;25 826;19 036;27 046;13 185;16 036;19 764;15 839;12 951;5 481;8 404;12 136;8 410;12 051;12 638;9 646;12 630;5 902;5 368;11 173;7 151
Ország összesen;ország;21 408;15 625;6 958;30 790;35 155;25 655;40 281;21 734;26 761;33 457;27 059;24 766;10 779;21 488;23 087;19 855;23 528;24 101;14 329;25 486;10 623;11 765;24 106;16 297
õszibarack;;;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;5 900;4 100;1 300;1 013;834;693;823;522;489;486;319;187;172;217;134;408;223;338;330;293;4;4;12;6
Pest;vármegye, régió;17 100;11 970;6 355;8 748;8 891;6 700;7 978;6 617;9 282;10 037;4 373;4 185;2 825;7 467;9 060;9 122;8 060;7 822;3 933;5 522;1 344;859;2 791;1 026
Közép-Magyarország;nagyrégió;23 000;16 070;7 655;9 761;9 725;7 393;8 801;7 139;9 771;10 523;4 692;4 372;2 997;7 685;9 194;9 530;8 283;8 160;4 263;5 815;1 348;863;2 803;1 032
Fejér;vármegye;3 451;3 730;1 613;5 350;5 146;2 516;4 606;2 949;3 059;2 588;2 445;2 172;1 776;2 004;1 959;3 155;1 994;1 796;646;1 540;583;413;873;331
Komárom-Esztergom;vármegye;1 410;1 310;1 200;536;966;521;626;250;678;580;415;356;325;341;340;282;256;258;176;176;26;17;29;14
Veszprém;vármegye;1 174;1 069;53;278;417;770;617;391;484;412;354;269;156;233;199;211;253;241;165;165;52;59;180;119
Közép-Dunántúl;régió;6 035;6 109;2 866;6 164;6 529;3 807;5 849;3 590;4 221;3 580;3 214;2 797;2 257;2 578;2 498;3 648;2 503;2 295;987;1 881;661;489;1 082;464
Gyõr-Moson-Sopron;vármegye;1 370;725;237;308;422;446;724;298;42;205;142;173;104;87;66;95;148;139;64;60;25;28;56;53
Vas;vármegye;70;28;9;5;7;5;58;98;96;26;241;22;15;9;11;8;95;87;42;42;11;18;43;20
Zala;vármegye;510;248;115;101;95;82;356;269;189;192;517;181;123;278;264;251;284;307;212;191;59;69;118;112
Nyugat-Dunántúl;régió;1 950;1 001;361;414;524;533;1 138;665;327;423;900;376;242;374;341;354;527;533;318;293;95;115;217;185
Baranya;vármegye;1 914;1 725;610;1 510;1 503;1 232;1 830;1 383;1 005;1 656;1 558;1 156;592;1 491;1 194;1 532;979;916;702;664;499;308;537;340
Somogy;vármegye;3 380;3 300;2 200;3 220;3 438;3 213;5 216;2 682;3 769;3 212;3 051;3 966;3 147;3 703;2 199;2 273;2 870;2 760;1 590;1 757;1 120;893;411;353
Tolna;vármegye;1 348;1 537;1 355;2 061;1 771;1 414;2 085;1 553;1 357;2 054;879;1 215;1 020;1 320;1 151;1 050;1 599;1 355;811;809;183;184;394;329
Dél-Dunántúl;régió;6 642;6 562;4 165;6 791;6 712;5 859;9 131;5 618;6 131;6 922;5 488;6 337;4 759;6 513;4 544;4 855;5 448;5 031;3 103;3 230;1 802;1 385;1 342;1 022
Dunántúl;nagyrégió;14 627;13 672;7 392;13 369;13 765;10 199;16 118;9 873;10 679;10 925;9 602;9 510;7 258;9 465;7 383;8 857;8 478;7 859;4 408;5 404;2 558;1 989;2 641;1 671
Borsod-Abaúj-Zemplén;vármegye;626;635;635;549;913;490;889;395;1 002;987;656;610;545;366;390;598;923;940;618;901;264;309;557;369
Heves;vármegye;1 880;2 500;1 750;1 902;5 404;2 115;2 834;1 479;2 426;1 928;2 623;1 343;965;1 625;1 503;1 191;1 033;939;581;781;913;822;1 019;618
Nógrád;vármegye;350;355;72;69;90;86;214;106;78;24;89;44;3;8;4;5;72;70;47;47;8;10;30;22
Észak-Magyarország;régió;2 856;3 490;2 457;2 520;6 407;2 691;3 937;1 980;3 506;2 939;3 368;1 997;1 513;1 999;1 897;1 794;2 028;1 949;1 246;1 729;1 185;1 141;1 606;1 009
Hajdú-Bihar;vármegye;800;1 100;900;796;805;780;1 452;732;701;1 243;641;1 200;699;723;747;599;643;576;375;410;81;241;308;170
Jász-Nagykun-Szolnok;vármegye;1 142;1 361;540;214;639;587;1 392;269;360;475;709;267;224;371;386;237;769;742;477;785;286;173;322;208
Szabolcs-Szatmár-Bereg;vármegye;2 200;1 736;1 215;1 215;2 181;963;2 732;1 011;3 050;5 111;4 566;1 358;2 080;434;2 768;2 432;3 129;2 832;2 509;3 797;829;869;517;405
Észak-Alföld;régió;4 142;4 197;2 655;2 225;3 625;2 330;5 576;2 012;4 111;6 829;5 916;2 825;3 002;1 528;3 901;3 268;4 541;4 150;3 361;4 992;1 196;1 283;1 147;783
Bács-Kiskun;vármegye;5 525;4 500;515;2 343;6 312;8 435;4 979;7 397;6 735;9 100;9 714;5 848;1 141;1 851;2 593;1 840;3 633;3 504;2 044;2 493;1 443;1 303;3 590;2 134
Békés;vármegye;266;213;89;140;207;156;268;300;186;279;147;329;270;313;355;363;302;277;162;119;30;30;65;44
Csongrád-Csanád;vármegye;13 705;14 540;1 412;1 582;42 568;17 186;27 875;12 120;12 520;20 023;19 473;16 854;82;21 077;13 406;11 720;12 279;11 181;7 426;7 519;4 063;4 070;9 272;6 670
Dél-Alföld;régió;19 496;19 253;2 016;4 065;49 087;25 777;33 122;19 817;19 441;29 402;29 334;23 031;1 493;23 241;16 354;13 923;16 214;14 962;9 632;10 131;5 536;5 403;12 927;8 848
Alföld és Észak;nagyrégió;26 494;26 940;7 128;8 810;59 119;30 798;42 635;23 809;27 058;39 170;38 618;27 853;6 008;26 768;22 152;18 985;22 783;21 061;14 239;16 852;7 917;7 827;15 680;10 640
Ország összesen;ország;64 121;56 682;22 175;31 940;82 609;48 390;67 554;40 821;47 508;60 618;52 912;41 735;16 263;43 918;38 729;37 372;39 544;37 080;22 910;28 071;11 823;10 679;21 124;13 343
