19.1.2.19. Gyümölcstermelés vármegye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Dél-Alföld;régió;100 260;82 250;36 050;90 030;164 939;136 498;149 523;98 146;119 660;146 761;134 227;110 031;46 917;112 679;92 093;74 517;108 167;101 007;101 608;85 447;58 416;58 817;70 226;66 189
Alföld és Észak;nagyrégió;729 180;697 925;559 057;528 311;809 150;521 082;649 654;191 672;631 044;647 824;600 688;336 327;658 219;616 287;828 831;556 913;591 984;536 397;722 285;551 341;456 129;577 255;428 861;541 645
Ország összesen;ország;1 038 139;916 624;699 246;724 068;1 037 823;731 853;863 335;359 664;840 456;884 268;765 775;512 512;821 869;849 606;1 039 873;777 716;755 410;722 664;924 804;727 970;575 223;699 277;560 893;672 002
Ebbõl: alma;;;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;6 250;5 060;2 600;3 100;1 500;3 658;2 757;514;6 357;5 413;2 284;3 111;7 736;5 000;6 771;9 392;5 400;7 178;8 967;4 178;16;5;4;7
Pest;vármegye, régió;33 700;25 610;15 958;25 066;29 760;36 968;21 251;15 038;35 329;34 015;19 676;16 531;27 123;26 349;29 520;30 012;22 830;25 098;37 660;23 739;14 934;17 444;10 968;17 043
Közép-Magyarország;nagyrégió;39 950;30 670;18 558;28 166;31 260;40 626;24 008;15 552;41 686;39 428;21 960;19 642;34 859;31 349;36 291;39 404;28 230;32 276;46 627;27 917;14 950;17 449;10 972;17 050
Fejér;vármegye;4 470;3 417;3 777;4 932;7 553;6 537;4 049;3 779;3 387;7 078;3 559;3 302;3 699;5 001;2 913;3 114;2 184;3 108;6 936;2 620;3 580;3 181;2 301;4 722
Komárom-Esztergom;vármegye;2 070;1 321;1 823;1 345;4 293;3 375;3 508;1 696;2 373;3 538;1 006;1 557;997;1 190;1 161;2 548;962;2 260;1 737;2 441;677;1 409;287;1 009
Veszprém;vármegye;14 454;4 616;7 017;6 060;11 116;5 995;7 759;3 545;7 018;4 875;4 780;4 078;3 443;4 024;3 351;5 159;2 832;3 885;5 108;2 146;1 192;1 043;1 813;2 542
Közép-Dunántúl;régió;20 994;9 354;12 617;12 337;22 965;15 907;15 316;9 020;12 778;15 491;9 345;8 937;8 139;10 214;7 425;10 821;5 978;9 253;13 781;7 207;5 449;5 633;4 401;8 273
Gyõr-Moson-Sopron;vármegye;6 091;4 840;5 781;7 024;6 745;7 911;6 502;3 896;2 605;5 639;5 256;6 653;6 271;6 004;5 629;6 647;3 716;5 217;4 714;5 317;2 457;3 696;4 665;6 011
Vas;vármegye;10 154;7 250;4 396;8 700;12 500;11 171;9 835;9 800;9 790;10 063;5 396;8 925;8 158;9 638;11 994;14 839;4 719;9 397;10 579;17 269;17 105;15 764;18 196;14 702
Zala;vármegye;26 400;12 350;22 423;31 479;32 388;32 000;30 617;34 468;30 634;34 759;33 176;34 537;25 928;43 136;36 609;28 954;14 795;26 939;30 808;25 957;15 080;15 087;19 502;25 146
Nyugat-Dunántúl;régió;42 645;24 440;32 600;47 203;51 633;51 082;46 954;48 164;43 029;50 461;43 828;50 115;40 357;58 779;54 232;50 440;23 230;41 553;46 101;48 543;34 642;34 547;42 363;45 859
Baranya;vármegye;4 200;2 520;1 518;1 822;2 045;2 435;1 304;2 162;2 126;1 828;2 371;2 576;1 549;5 220;4 590;4 914;4 969;3 965;5 345;4 726;2 157;1 826;1 509;1 069
Somogy;vármegye;14 613;5 042;2 977;9 438;14 100;9 844;9 148;13 284;9 811;15 331;6 899;6 347;6 842;12 400;7 028;6 072;5 219;5 002;6 821;2 166;961;927;558;814
Tolna;vármegye;3 082;2 418;1 193;2 832;3 429;1 547;2 251;2 425;2 580;2 303;1 312;2 376;1 700;2 945;2 874;2 745;1 322;2 174;1 971;605;871;642;920;937
Dél-Dunántúl;régió;21 895;9 980;5 688;14 092;19 574;13 826;12 703;17 871;14 517;19 462;10 582;11 299;10 091;20 565;14 492;13 731;11 510;11 141;14 137;7 497;3 989;3 395;2 987;2 820
Dunántúl;nagyrégió;85 534;43 774;50 905;73 632;94 172;80 815;74 973;75 055;70 324;85 414;63 755;70 351;58 588;89 557;76 149;74 992;40 718;61 947;74 019;63 247;44 080;43 575;49 751;56 952
Borsod-Abaúj-Zemplén;vármegye;30 900;30 144;23 904;28 105;33 402;29 846;23 140;10 227;25 661;27 269;40 141;35 273;70 438;57 803;55 750;45 581;39 152;36 187;52 159;34 012;25 611;19 017;18 168;14 769
